Name,Cost_INR_capped,CuisineOH_North_Indian,CuisineOH_Chinese,CuisineOH_Continental,CuisineOH_Biryani,CuisineOH_Asian,CuisineOH_Fast_Food,CuisineOH_Italian,CuisineOH_Desserts,CuisineOH_South_Indian,CuisineOH_Bakery,Avg_Rating,Review_Count,Avg_Pictures,Avg_Followers,Avg_Critic_Score,Avg_Sentiment,Pct_Positive,log_Review_Count,KMeans_Cluster,KMeans_Best_Cluster,Agg_Cluster,Agg_Best_Cluster
Barbeque Nation,1600,1,0,0,0,0,0,0,0,0,0,4.12,100,0.314515377787929,0.0,0.0,0.7159829999999999,0.91,4.61512051684126,2,2,1,0
Absolute Sizzlers,750,0,1,1,0,0,0,0,0,0,0,3.62,100,0.14173733103749261,0.0,0.0,0.48963700000000004,0.77,4.61512051684126,2,2,1,0
The Lal Street - Bar Exchange,1300,1,0,0,0,0,0,1,0,0,0,3.45,100,0.30589216616707077,0.0,0.0,0.529571,0.77,4.61512051684126,2,2,1,0
AB's - Absolute Barbecues,1500,1,0,0,0,0,0,0,0,0,0,4.88,100,0.0890815361332152,0.0,0.0,0.902735,0.99,4.61512051684126,2,2,1,0
KFC,500,0,0,0,0,0,1,0,0,0,0,2.85,100,0.05886104031450156,0.0,0.0,0.112881,0.45,4.61512051684126,0,0,0,0
NorFest - The Dhaba,550,1,0,0,0,0,0,0,0,0,0,4.03,100,0.28878872538964534,0.0,0.0,0.671956,0.87,4.61512051684126,2,2,1,0
Hotel Zara Hi-Fi,400,1,1,0,0,0,0,0,0,0,0,2.4,100,0.03465735902799726,0.0,0.0,-0.09536,0.36,4.61512051684126,0,0,0,0
10 Downing Street,1900,1,1,1,0,0,0,0,0,0,0,3.8,100,0.36745400794991556,0.0,0.0,0.659678,0.85,4.61512051684126,2,2,1,0
Pakwaan Grand,400,1,1,0,1,0,0,0,0,0,0,2.71,100,0.0899516499031115,0.0,0.0,0.111972,0.54,4.61512051684126,0,0,0,0
13 Dhaba,450,1,0,0,0,0,0,0,0,0,0,3.48,100,0.1995644283699513,0.0,0.0,0.366539,0.66,4.61512051684126,0,0,0,0
Jonathan's Kitchen - Holiday Inn Express & Suites,1900,1,0,0,0,0,0,1,0,0,0,3.535,100,0.5400188547167668,0.0,0.0,0.5893160000000001,0.82,4.61512051684126,2,2,1,0
B-Dubs,1600,0,0,0,0,0,0,0,0,0,0,4.81,100,0.09351839934249882,0.0,0.0,0.8816240000000001,0.98,4.61512051684126,2,2,1,0
Amul,150,0,0,0,0,0,0,0,1,0,0,3.9292929292929295,99,0.07530020150872728,0.0,0.0,0.32343737373737375,0.6464646464646465,4.605170185988092,1,1,2,0
SKYHY,1400,1,1,1,0,0,0,0,0,0,0,3.37,100,0.201920089083079,0.0,0.0,0.559162,0.81,4.61512051684126,2,2,1,0
Tiki Shack,1000,0,0,1,0,0,0,0,0,0,0,3.48,100,0.24227512970507067,0.0,0.0,0.57461,0.8,4.61512051684126,2,2,1,0
Mustang Terrace Lounge,1300,1,1,0,0,0,0,1,0,0,0,3.31,100,0.19733299285680922,0.0,0.0,0.422739,0.73,4.61512051684126,2,2,1,0
"3B's - Buddies, Bar & Barbecue",1100,1,0,0,0,0,0,0,0,0,0,4.76,100,0.0716703787691222,0.0,0.0,0.810532,0.94,4.61512051684126,2,2,1,0
Behrouz Biryani,600,0,0,0,1,0,0,0,0,0,0,2.825,100,0.2049543933772782,0.0,0.0,0.28328400000000004,0.61,4.61512051684126,0,0,0,0
Hunger Maggi Point,200,0,0,0,0,0,1,0,0,0,0,3.12,100,0.17430714192686877,0.0,0.0,0.177444,0.53,4.61512051684126,0,0,0,0
Pot Pourri,900,1,0,0,0,0,0,0,0,1,0,3.32,100,0.2589911721993368,0.0,0.0,0.49041,0.8,4.61512051684126,0,0,0,0
Pista House,1000,1,1,0,0,0,0,0,0,0,1,3.23,100,0.4355467352057035,0.0,0.0,0.42897599999999997,0.72,4.61512051684126,0,0,2,2
Marsala Food Company,700,1,1,0,0,0,0,0,0,0,0,3.46,100,0.6792426496588374,0.0,0.0,0.549249,0.81,4.61512051684126,2,2,1,0
